protocol,pathway,test,sample,time_s,kc_class,d,n,D,N,weight
fig6_1x60s,da_only,1,start,840.0,shared,0.9864314409877991,0.0,0.986431440979205,0.0,0.013568559020795012
fig6_1x60s,da_only,1,start,840.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,da_only,1,last_30s_start,870.0,a_only,0.9864314409877991,0.0,0.9864314409846375,0.0,0.013568559015362469
fig6_1x60s,da_only,1,last_30s_start,870.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,da_only,1,last_30s_start,870.0,shared,0.9864314409877991,0.0,0.9864314409846375,0.0,0.013568559015362469
fig6_1x60s,da_only,1,last_30s_start,870.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,da_only,1,end,900.0,a_only,0.9864314409877991,0.0,0.986431440986636,0.0,0.013568559013363957
fig6_1x60s,da_only,1,end,900.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,da_only,1,end,900.0,shared,0.9864314409877991,0.0,0.986431440986636,0.0,0.013568559013363957
fig6_1x60s,da_only,1,end,900.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,no_only,1,start,840.0,a_only,0.0,0.6171071140248879,0.0,0.44162059644801344,1.4416205964480135
fig6_1x60s,no_only,1,start,840.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,no_only,1,start,840.0,shared,0.0,0.6171071140248879,0.0,0.44162059644801344,1.4416205964480135
fig6_1x60s,no_only,1,start,840.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,no_only,1,last_30s_start,870.0,a_only,0.0,0.6171071140248879,0.0,0.4501791749026032,1.4501791749026032
fig6_1x60s,no_only,1,last_30s_start,870.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,no_only,1,last_30s_start,870.0,shared,0.0,0.6171071140248879,0.0,0.4501791749026032,1.4501791749026032
fig6_1x60s,no_only,1,last_30s_start,870.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,no_only,1,end,900.0,a_only,0.0,0.6171071140248879,0.0,0.4583203465605068,1.4583203465605068
fig6_1x60s,no_only,1,end,900.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,no_only,1,end,900.0,shared,0.0,0.6171071140248879,0.0,0.4583203465605068,1.4583203465605068
fig6_1x60s,no_only,1,end,900.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,neither,1,start,840.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,neither,1,start,840.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,neither,1,start,840.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,neither,1,start,840.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,neither,1,last_30s_start,870.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,neither,1,last_30s_start,870.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,neither,1,last_30s_start,870.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,neither,1,last_30s_start,870.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,neither,1,end,900.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,neither,1,end,900.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,neither,1,end,900.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_1x60s,neither,1,end,900.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,both,1,start,840.0,a_only,0.9999975019496742,0.9438652371658662,0.9999974875336158,0.6108815252517216,4.0472856810651074e-06
fig6_3x60s,both,1,start,840.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,both,1,start,840.0,shared,0.9999975019496742,0.9438652371658662,0.9999974875336158,0.6108815252517216,4.0472856810651074e-06
fig6_3x60s,both,1,start,840.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,both,1,last_30s_start,870.0,a_only,0.9999975019496742,0.9438652371658662,0.9999974966463027,0.6271213325136629,4.073260203762731e-06
fig6_3x60s,both,1,last_30s_start,870.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,both,1,last_30s_start,870.0,shared,0.9999975019496742,0.9438652371658662,0.9999974966463027,0.6271213325136629,4.073260203762731e-06
fig6_3x60s,both,1,last_30s_start,870.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,both,1,end,900.0,a_only,0.9999975019496742,0.9438652371658662,0.9999974999986728,0.6425691150294418,4.106424967553525e-06
fig6_3x60s,both,1,end,900.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,both,1,end,900.0,shared,0.9999975019496742,0.9438652371658662,0.9999974999986728,0.6425691150294418,4.106424967553525e-06
fig6_3x60s,both,1,end,900.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,da_only,1,start,840.0,a_only,0.9999975019496742,0.0,0.9999974875336158,0.0,2.512466384163581e-06
fig6_3x60s,da_only,1,start,840.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,da_only,1,start,840.0,shared,0.9999975019496742,0.0,0.9999974875336158,0.0,2.512466384163581e-06
fig6_3x60s,da_only,1,start,840.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,da_only,1,last_30s_start,870.0,a_only,0.9999975019496742,0.0,0.9999974966463027,0.0,2.5033536973362303e-06
fig6_3x60s,da_only,1,last_30s_start,870.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,da_only,1,last_30s_start,870.0,shared,0.9999975019496742,0.0,0.9999974966463027,0.0,2.5033536973362303e-06
fig6_3x60s,da_only,1,last_30s_start,870.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,da_only,1,end,900.0,a_only,0.9999975019496742,0.0,0.9999974999986728,0.0,2.5000013271769816e-06
fig6_3x60s,da_only,1,end,900.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,da_only,1,end,900.0,shared,0.9999975019496742,0.0,0.9999974999986728,0.0,2.5000013271769816e-06
fig6_3x60s,da_only,1,end,900.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,no_only,1,start,840.0,a_only,0.0,0.9438652371658662,0.0,0.6108815252517216,1.6108815252517217
fig6_3x60s,no_only,1,start,840.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,no_only,1,start,840.0,shared,0.0,0.9438652371658662,0.0,0.6108815252517216,1.6108815252517217
fig6_3x60s,no_only,1,start,840.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,no_only,1,last_30s_start,870.0,a_only,0.0,0.9438652371658662,0.0,0.6271213325136629,1.6271213325136629
fig6_3x60s,no_only,1,last_30s_start,870.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,no_only,1,last_30s_start,870.0,shared,0.0,0.9438652371658662,0.0,0.6271213325136629,1.6271213325136629
fig6_3x60s,no_only,1,last_30s_start,870.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,no_only,1,end,900.0,a_only,0.0,0.9438652371658662,0.0,0.6425691150294418,1.642569115029442
fig6_3x60s,no_only,1,end,900.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,no_only,1,end,900.0,shared,0.0,0.9438652371658662,0.0,0.6425691150294418,1.642569115029442
fig6_3x60s,no_only,1,end,900.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,neither,1,start,840.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,neither,1,start,840.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,neither,1,start,840.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,neither,1,start,840.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,neither,1,last_30s_start,870.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,neither,1,last_30s_start,870.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,neither,1,last_30s_start,870.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,neither,1,last_30s_start,870.0,neither,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,neither,1,end,900.0,a_only,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,neither,1,end,900.0,b_only,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,neither,1,end,900.0,shared,0.0,0.0,0.0,0.0,1.0
fig6_3x60s,neither,1,end,900.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,1,start,300.0,a_only,0.9864314409877991,0.6171071140248879,0.9858671509918503,0.18547992942670868,0.01675420884477964
fig7_reversal,both,1,start,300.0,b_only,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,1,start,300.0,shared,0.9864314409877991,0.6171071140248879,0.9858671509918503,0.18547992942670868,0.01675420884477964
fig7_reversal,both,1,start,300.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,1,last_30s_start,330.0,a_only,0.9864314409877991,0.6171071140248879,0.9862238502994308,0.20653063562069846,0.01662134665463362
fig7_reversal,both,1,last_30s_start,330.0,b_only,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,1,last_30s_start,330.0,shared,0.9864314409877991,0.6171071140248879,0.9862238502994308,0.20653063562069846,0.01662134665463362
fig7_reversal,both,1,last_30s_start,330.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,1,end,360.0,a_only,0.9864314409877991,0.6171071140248879,0.9863550726413697,0.22655468675894094,0.016736249602213316
fig7_reversal,both,1,end,360.0,b_only,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,1,end,360.0,shared,0.9864314409877991,0.6171071140248879,0.9863550726413697,0.22655468675894094,0.016736249602213316
fig7_reversal,both,1,end,360.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,2,start,900.0,a_only,0.9999975019496742,0.9438652371658662,0.9999973954909497,0.6110171508414255,4.1959087495857176e-06
fig7_reversal,both,2,start,900.0,b_only,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,2,start,900.0,shared,0.9999975019496742,0.9438652371658662,0.9999973954909497,0.6110171508414255,4.1959087495857176e-06
fig7_reversal,both,2,start,900.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,2,last_30s_start,930.0,a_only,0.9999975019496742,0.9438652371658662,0.9999974627856981,0.6272503435653045,4.128682844430916e-06
fig7_reversal,both,2,last_30s_start,930.0,b_only,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,2,last_30s_start,930.0,shared,0.9999975019496742,0.9438652371658662,0.9999974627856981,0.6272503435653045,4.128682844430916e-06
fig7_reversal,both,2,last_30s_start,930.0,neither,0.0,0.0,0.0,0.0,1.0
fig7_reversal,both,2,end,960.0,a_only,0.9999975019496742,0.9438652371658662,0.9999974875420525,0.6426918341378491,4.127194153920087e-06
fig7_reversal,both,2,end,960.0,b_only,0.0,0.0,0.0,0.0,1.0
