body_id,graph_index,type,instance,kc_family,home_eligible_edges,away_eligible_edges,raw_events_across_32_histories,weighted_event_mass_across_32_histories,minimum_recorded_susceptibility,original_home_gain_sum_across_32_histories,candidate_home_gain_sum_across_32_histories
42111,28703,KCa'b'-ap1,KCa'b'-ap1_L,apbp,1,0,0,0.0,1.0,0.0,0.0
42115,28707,KCa'b'-ap1,KCa'b'-ap1_L,apbp,0,0,0,0.0,1.0,0.0,0.0
42131,28722,KCa'b'-ap1,KCa'b'-ap1_L,apbp,1,0,0,0.0,1.0,0.0,0.0
42140,28730,KCg-m,KCg-m_L,gamma,1,2,47,46.34496207507853,0.0,-0.0025978684425354004,-0.003469526767730713
42182,28770,KCa'b'-ap2,KCa'b'-ap2_R,apbp,1,0,1,1.0,0.9253008682223011,-0.0017907023429870605,-0.0017907023429870605
42185,28773,KCab-p,KCab-p_R,ab,1,0,0,0.0,1.0,0.0,0.0
42216,28799,KCg-m,KCg-m_R,gamma,1,2,9,8.777108178591048,0.0,-7.778406143188477e-05,-0.00020319223403930664
42260,28841,KCa'b'-ap1,KCa'b'-ap1_R,apbp,1,0,0,0.0,1.0,0.0,0.0
42370,28942,KCg-d,KCg-d_R,gamma,1,2,0,0.0,1.0,0.0,0.0
42409,28974,KCa'b'-ap1,KCa'b'-ap1_L,apbp,2,0,1,1.0,0.7639834013258326,-0.0013452768325805664,-0.0013452768325805664
42425,28985,KCg-m,KCg-m_R,gamma,1,2,105,103.36155479775005,0.0,-0.02150028944015503,-0.023490726947784424
42582,29124,KCab-s,KCab-s_R,ab,2,0,3,3.0,0.8571794466464757,-0.002740025520324707,-0.002740025520324707
42597,29139,KCa'b'-ap1,KCa'b'-ap1_L,apbp,0,0,0,0.0,1.0,0.0,0.0
42744,29262,KCg-m,KCg-m_L,gamma,1,2,51,49.77878262051157,0.0,-0.004782199859619141,-0.006070256233215332
42813,29321,KCa'b'-m,KCa'b'-m_R,apbp,2,0,11,10.944289545028276,0.3270295183975842,-0.004553675651550293,-0.004614710807800293
42908,29406,KCg-m,KCg-m_R,gamma,1,2,42,40.519281513303575,0.0,0.004834532737731934,0.0022892355918884277
42969,29455,KCg-d,KCg-d_R,gamma,1,2,0,0.0,1.0,0.0,0.0
43228,29684,KCa'b'-ap2,KCa'b'-ap2_L,apbp,1,0,0,0.0,1.0,0.0,0.0
43246,29699,KCa'b'-ap1,KCa'b'-ap1_L,apbp,0,0,0,0.0,1.0,0.0,0.0
43321,29766,KCab-m,KCab-m_R,ab,1,0,0,0.0,1.0,0.0,0.0
43351,29792,KCa'b'-ap1,KCa'b'-ap1_L,apbp,0,0,5,4.954690673695741,0.6334567366437546,0.0,0.0
43354,29795,KCg-m,KCg-m_L,gamma,1,2,2,2.0,0.0,0.0057381391525268555,0.0057381391525268555
43358,29799,KCa'b'-ap1,KCa'b'-ap1_R,apbp,1,0,1,1.0,0.43935164228325496,0.0,0.0
43379,29818,KCa'b'-m,KCa'b'-m_L,apbp,0,0,3,3.0,0.730158712579364,0.0,0.0
43380,29819,KCg-m,KCg-m_R,gamma,1,3,140,137.00625036710167,0.0,-0.012860238552093506,-0.01634770631790161
